Actual License Plate,Predicted License Plate,Accuracy
9B52145,QB52145,86%
6B94558,6B94558,100 %
8B90164,8B9015L,71%
5B11181,4AQ,0
8B79697,8BQ6Q,0
8B90164,8B90164,100 %
5B11181,44,0
5Z40181,5ZL0484,57%
2B20174,2B201L,0
1B76462,4Q74S2,0
BVJ6411,BVJ6444,71%
8B79697,,0
BVJ6411,BVJ6411,100 %
1B94686,4B9L66,0
4B83940,4B83940,100 %
4B83940,4B83940,100 %
4B27433,4B27L33,86%
5B29737,5B2G37,0
8B88391,8B88391,100 %
5B28893,ARR,0
5C48306,5CL8306,86%
3B38140,3B381L0,86%
4B10036,O,0
1BD0673,,0
4B50811,LB50811,86%
6B51255,6B54255,86%
4B02466,,0
5C65578,,0
BZD1223,,0
ZNE2393,,0
8B02173,48RB02173,0
7B10307,,0
9B60464,,0
7B91102,7QG,0
1AT5828,,0
7B14349,7B4343,0
4M98681,L4Q581,0
2B17515,2RB545,0
BZH8389,,0
9B38368,QR,0
8B71401,8B7440Q4,0
4B20737,LB2Q737,71%
3B04082,3B04082,100 %
1J24813,JZZ513,0
1BC4146,1BC16,0
5B77655,5R9,0
6B67495,K47,0
BZP2087,BZP2087,100 %
5C93988,,0
2B65055,JE,0
3AI0851,,0
2SE8601,,0
7B11859,,0
3AI0851,,0
8B23170,,0
9B84391,9BQ484,0
2B13579,2R13A9,0
5B08436,AB84,0
4AF9553,LQ4,0
2B52739,BA3,0
7B00844,7B00844,100 %
6B68384,,0
7B15714,7845744,57%
7B29430,7R29L3,0
7B61623,B61623,0
2B89928,,0
6B67033,674,0
9B84759,,0
1BB8851,1BB8851,100 %
6B50430,6B50430,100 %
6B00320,6B0032,0
4B45969,LRA6,0
7B58307,,0
BZC4939,BZCL3Q,0
1BB6338,1BB6338,100 %
1BA0888,1BA3SKB,43%
9B49365,Q8LQ365,43%
6B26050,6R550,0
8B64702,8B5L02,0
3Z63187,376387,0
4AZ3802,4AZ3802,100 %
7B57267,7B5267,0
2Z52689,25268,0
6B88304,65RB30L,43%
4E02304,LEF0230L,0
7B40988,,0
7B94261,7RQL261,57%
5B11149,5B1414Q,71%
2B74289,2B28Q,0
9B64064,9B6406L,86%
1B85815,1B85815,100 %
7B98453,B8LA3,0
9B59729,9B59729,100 %
5B11149,,0
5B11300,5B13,0
1BA3428,1B3428,0
1BD0679,1BD0679,100 %
5B82908,,0
4E02304,LFI3L,0
9B43104,9BL310A,71%
BZL4085,BZL408A,86%
7B14095,7B14095,100 %
1BA2905,1BA290PA,0
6C71390,5C713Q0,71%
8B46851,8BL68A1,71%
6B45495,6BLHLQH,29%
4B82840,LB82L,0
4M34462,M3LL62,0
6M04291,6,0
5B05531,5B0531,0
5Z15057,HZA0A,0
4Z42407,LZPR2L0,14%
3S86899,,0
9B33297,3R43297,57%
7B66657,B6655,0
7B27254,5Z25,0
4AX9660,4AX9660,100 %
3B60372,3B60372,100 %
